,问卷图片顺序,algorithm,label_orig,label,prediction,index in 200,index in total,count of considering numbers among 13,count of correct lables
lava,cvae,v,6,org6,pred5,124,index534,1,0
lava,cvae,v,4,org4,pred5,73,index3172,5,1
lava,vae,v,4,org4,pred8,187,index3042,8,0
dlfuzz,,,4,org4,pred2,62,index1956,13,13
fgsm,,,6,org6,pred0,109,index2737,13,13
lava,cae,bp,9,org9,pred7,51,index6807,13,13
lava,cae,v,7,org7,pred9,63,index254,8,9
lava,cvae,bp,0,org0,pred3,161,index3512,4,0
lava,vae,bp,1,org1,pred2,37,index4144,11,2
lava,vae,f,7,org7,pred5,4,index4993,9,7
dlfuzz,,,8,org8,pred0,87,index6725,12,13
lava,cae,f,4,org4,pred7,62,index1956,5,0
lava,cvae,bp,5,org5,pred2,74,index3416,0,0
lava,cae,f,0,org0,pred9,36,index5035,10,1
lava,vae,v,1,org1,pred2,37,index4144,10,3
lava,cae,bp,1,org1,pred3,114,index3843,5,5
lava,cae,v,3,org3,pred5,30,index1042,4,4
fgsm,,,9,org9,pred3,104,index2582,11,10
lava,vae,bp,8,org8,pred2,2,index5103,13,0
lava,cvae,f,3,org3,pred7,30,index1042,2,0
lava,cae,f,9,org9,pred5,172,index2934,7,4
dlfuzz,,,6,org6,pred0,109,index2737,13,13
lava,cae,f,5,org5,pred9,103,index6146,10,1
lava,cae,v,1,org1,pred7,79,index9931,10,5
lava,cvae,bp,6,org6,pred3,109,index2737,5,0
lava,cae,bp,4,org4,pred9,62,index1956,10,0
lava,cae,v,2,org2,pred7,92,index653,1,1
lava,cvae,f,6,org6,pred7,26,index8622,1,0
lava,vae,bp,4,org4,pred8,65,index1706,1,2
lava,vae,f,2,org2,pred3,70,index9246,2,1
lava,vae,v,7,org7,pred9,38,index7307,9,0
lava,cvae,bp,4,org4,pred2,160,index8071,0,0
fgsm,,,5,org5,pred3,27,index7541,8,8
lava,cae,bp,5,org5,pred3,48,index2559,12,0
lava,vae,bp,5,org5,pred3,27,index7541,10,9
lava,vae,f,8,org8,pred1,64,index9712,4,0
lava,vae,v,2,org2,pred6,155,index4582,6,0
lava,cae,v,5,org5,pred9,40,index5947,12,2
lava,cae,bp,7,org7,pred9,63,index254,8,9
fgsm,,,4,org4,pred2,7,index399,9,8
lava,cvae,f,5,org5,pred7,185,index7372,0,0
lava,cvae,v,1,org1,pred8,129,index7856,10,11
lava,cvae,bp,3,org3,pred2,162,index2587,0,0
fgsm,,,2,org2,pred6,58,index3384,5,5
lava,cae,f,1,org1,pred2,114,index3843,3,3
lava,cvae,f,3,org3,pred6,139,index1315,1,0
lava,vae,bp,3,org3,pred4,144,index548,2,1
lava,vae,f,1,org1,pred2,120,index682,2,3
lava,vae,f,5,org5,pred3,163,index5510,12,1
lava,vae,v,8,org8,pred3,3,index8963,6,0
dlfuzz,,,0,org0,pred6,140,index2894,11,10
dlfuzz,,,1,org1,pred8,84,index6623,10,11
fgsm,,,0,org0,pred6,140,index2894,11,10
lava,cae,bp,2,org2,pred6,29,index516,11,0
lava,cae,bp,3,org3,pred5,139,index1315,9,8
lava,cae,f,6,org6,pred4,34,index4285,3,2
lava,cae,v,9,org9,pred4,172,index2934,10,0
lava,cvae,f,9,org9,pred7,15,index5587,6,4
lava,cvae,v,6,org6,pred5,154,index6179,0,1
lava,vae,f,4,org4,pred6,45,index1157,11,0
lava,vae,bp,6,org6,pred0,154,index6179,11,0
lava,cvae,v,3,org3,pred2,144,index548,0,0
lava,cae,f,3,org3,pred2,81,index9986,10,1
dlfuzz,,,2,org2,pred6,22,index1642,10,9
fgsm,,,3,org3,pred5,30,index1042,10,11
lava,vae,v,9,org9,pred5,104,index2582,10,0
lava,vae,f,3,org3,pred5,81,index9986,11,0
lava,vae,bp,2,org2,pred4,22,index1642,10,0
lava,cvae,f,4,org4,pred7,7,index399,1,0
lava,cvae,bp,9,org9,pred8,0,index8374,1,0
lava,cvae,v,0,org0,pred2,23,index1807,4,4
lava,vae,f,0,org0,pred4,198,index1558,13,1
lava,cvae,f,1,org1,pred7,16,index416,1,1
dlfuzz,,,3,org3,pred8,162,index2587,12,12
lava,cae,bp,6,org6,pred8,34,index4285,12,11
lava,cae,v,6,org6,pred8,138,index9833,4,2
lava,cvae,f,0,org0,pred7,47,index9714,1,0
lava,cvae,v,6,org6,pred5,90,index7404,6,0
lava,vae,v,3,org3,pred8,162,index2587,12,0
lava,cae,bp,8,org8,pred6,177,index7720,11,10
dlfuzz,,,5,org5,pred8,48,index2559,6,3
dlfuzz,,,7,org7,pred5,112,index4551,7,5
dlfuzz,,,9,org9,pred3,104,index2582,10,11
lava,cae,bp,0,org0,pred8,42,index9865,12,12
lava,cae,v,0,org0,pred6,137,index4079,12,12
lava,cvae,bp,9,org9,pred5,46,index7199,5,0
lava,cvae,v,0,org0,pred5,80,index9952,1,0
lava,vae,bp,7,org7,pred9,14,index7296,12,0
lava,vae,f,9,org9,pred7,17,index5837,12,0
lava,vae,v,6,org6,pred5,132,index9607,12,11
lava,cae,v,8,org8,pred5,146,index5061,10,9
lava,cvae,bp,5,org5,pred8,67,index9184,3,1
lava,vae,bp,0,org0,pred6,47,index9714,9,7
fgsm,,,7,org7,pred2,118,index8257,12,11
fgsm,,,1,org1,pred2,96,index5880,12,12
fgsm,,,8,org8,pred9,87,index6725,11,11
lava,cae,f,2,org2,pred3,174,index72,12,12
lava,vae,v,5,org5,pred3,163,index5510,12,0
lava,cvae,bp,2,org2,pred4,155,index4582,7,0
lava,vae,f,6,org6,pred5,121,index4019,8,0
lava,cvae,bp,1,org1,pred5,13,index7005,3,3
lava,vae,v,0,org0,pred6,36,index5035,7,5
lava,cae,f,7,org7,pred1,38,index7307,8,6
lava,cvae,f,2,org2,pred7,106,index7724,1,0
lava,cvae,f,9,org9,pred7,94,index8817,5,2
lava,cvae,v,2,org2,pred3,155,index4582,5,0
lava,vae,bp,9,org9,pred4,170,index9319,7,8
lava,cvae,v,9,org9,pred8,181,index3160,1,0
lava,cae,v,4,org4,pred1,157,index9728,5,1
lava,cae,f,8,org8,pred3,64,index9712,2,1
